sentence,gpt4_zeroshot_r1,gpt4_zeroshot_r2,gpt4_zeroshot_r3,answer
"sr. transportation supervisor, saddle creek logistics services","Transportation, Storage, and Distribution Managers (11-3071.00); First-Line Supervisors of Transportation Workers, All Other (53-1049.00)","First-Line Supervisors of Material-Moving Machine and Vehicle Operators (53-1043.00); Transportation, Storage, and Distribution Managers (11-3071.00)","Transportation, Storage, and Distribution Managers (11-3071.00); First-Line Supervisors of Transportation Workers, All Other (53-1049.00)","Transportation, Storage, and Distribution Managers (11-3071.00);First-Line Supervisors of Transportation Workers, All Other (53-1049.00)"
"sr. travel consultant, hoffman travel",Travel Agents (41-3041.00),Travel Agents (41-3041.00),Travel Agents (41-3041.00),Travel Agents (41-3041.00)
"sr. weld engineer, raytheon space and airborne systems",Manufacturing Engineers (17-2112.03),Aerospace Engineers (17-2011.00); Manufacturing Engineers (17-2112.03),Aerospace Engineers (17-2011.00); Manufacturing Engineers (17-2112.03),Manufacturing Engineers (17-2112.03);Aerospace Engineers (17-2011.00)
"ssho, the dutra group",Occupational Health and Safety Specialists (19-5011.00); Occupational Health and Safety Technicians (19-5012.00),Occupational Health and Safety Specialists (19-5011.00),Occupational Health and Safety Specialists (19-5011.00),Occupational Health and Safety Specialists (19-5011.00)
"staff accompanist, mcphersoncollege",Musicians and Singers (27-2042.00),Musicians and Singers (27-2042.00),Musicians and Singers (27-2042.00),Musicians and Singers (27-2042.00)
"staff accountant, benchmark electronics",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"staff accountant, corporate central credit union",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"staff accountant, sr. staff accountant, enterprise holdings",Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00),Accountants and Auditors (13-2011.00)
"staff archaeologist, cardno",Anthropologists and Archeologists (19-3091.00),Anthropologists and Archeologists (19-3091.00),Anthropologists and Archeologists (19-3091.00),Anthropologists and Archeologists (19-3091.00)
"staff assistant, duke university school of medicine","Medical Secretaries and Administrative Assistants (43-6013.00); Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)"
"staff assistant-science & mathematics division, lorain county community college","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)"
"staff attorney, asian law caucus",Lawyers (23-1011.00),Lawyers (23-1011.00),Lawyers (23-1011.00),Lawyers (23-1011.00)
"staff audiologist, lester f. shapiro, md",Audiologists (29-1181.00),Audiologists (29-1181.00),Audiologists (29-1181.00),Audiologists (29-1181.00)
"staff development coordinator, piney grove nursing & rehab",Training and Development Specialists (13-1151.00),Training and Development Specialists (13-1151.00); Training and Development Managers (11-3131.00),Training and Development Specialists (13-1151.00),Training and Development Specialists (13-1151.00)
"staff economist, council of economic advisers",Economists (19-3011.00),Economists (19-3011.00),Economists (19-3011.00),Economists (19-3011.00)
"staff engineer, booz allen hamilton","Engineers, All Other (17-2199.00); Architectural and Engineering Managers (11-9041.00)","Engineers, All Other (17-2199.00)","Engineers, All Other (17-2199.00)","Engineers, All Other (17-2199.00)"
"staff engineer, elzly technology corporation","Engineers, All Other (17-2199.00)","Engineers, All Other (17-2199.00)","Engineers, All Other (17-2199.00)","Engineers, All Other (17-2199.00)"
"staff engineer, sun microsystems",Computer Systems Engineers/Architects (15-1299.08); Software Developers (15-1252.00); Computer Hardware Engineers (17-2061.00),Computer Systems Engineers/Architects (15-1299.08); Software Developers (15-1252.00),"Computer Systems Engineers/Architects (15-1299.08); Engineers, All Other (17-2199.00)",Computer Systems Engineers/Architects (15-1299.08);Software Developers (15-1252.00)
"staff hardware engineer, sr. hardware engineer ii, nokia",Computer Hardware Engineers (17-2061.00),Computer Hardware Engineers (17-2061.00),Computer Hardware Engineers (17-2061.00),Computer Hardware Engineers (17-2061.00)
"staff lead- aviation committee, techamerica",None (00-0000.00),None (00-0000.00),None (00-0000.00),None (00-0000.00)
"staff microbiologist, cargill",Microbiologists (19-1022.00),Microbiologists (19-1022.00),Microbiologists (19-1022.00),Microbiologists (19-1022.00)
"staff moonlighter psychiatrist, bellevue hospital cpep",Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00)
"staff nuclear medicine technologist, goshen health system",Nuclear Medicine Technologists (29-2033.00),Nuclear Medicine Technologists (29-2033.00),Nuclear Medicine Technologists (29-2033.00),Nuclear Medicine Technologists (29-2033.00)
"staff occupational therapy assistant, kindred hospital",Occupational Therapy Assistants (31-2011.00),Occupational Therapy Assistants (31-2011.00),Occupational Therapy Assistants (31-2011.00),Occupational Therapy Assistants (31-2011.00)
"staff perfusionist, charleston area medical center health system","Healthcare Practitioners and Technical Workers, All Other (29-9099.00)",Cardiovascular Technologists and Technicians (29-2031.00),"Healthcare Diagnosing or Treating Practitioners, All Other (29-1299.00); Healthcare Practitioners and Technical Workers, All Other (29-9099.00)","Healthcare Practitioners and Technical Workers, All Other (29-9099.00)"
"staff pharmacist (per diem), memorial hermann southeas",Pharmacists (29-1051.00),Pharmacists (29-1051.00),Pharmacists (29-1051.00),Pharmacists (29-1051.00)
"staff pharmacist, new york hotel trades council, employee benefit funds",Pharmacists (29-1051.00),Pharmacists (29-1051.00),Pharmacists (29-1051.00),Pharmacists (29-1051.00)
"staff physician, david grant medical center","Physicians, All Other (29-1229.00)","Physicians, All Other (29-1229.00)","Physicians, All Other (29-1229.00)","Physicians, All Other (29-1229.00)"
"staff physician, santa rosa va medical clinic","General Internal Medicine Physicians (29-1216.00); Physicians, All Other (29-1229.00)","Physicians, All Other (29-1229.00)","Physicians, All Other (29-1229.00)","Physicians, All Other (29-1229.00)"
"staff psychiatrist, princeton healthcare system",Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00)
"staff psychiatrist, united health services",Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00)
"staff psychiatrist, women's program, bay pines vamc",Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00),Psychiatrists (29-1223.00)
"staff radiation therapist, the reading hospital and medical center",Radiation Therapists (29-1124.00),Radiation Therapists (29-1124.00),Radiation Therapists (29-1124.00),Radiation Therapists (29-1124.00)
"staff radiologist, tibor rubin vamc",Radiologists (29-1224.00),Radiologists (29-1224.00),Radiologists (29-1224.00),Radiologists (29-1224.00)
"staff reader, pank magazine",Proofreaders and Copy Markers (43-9081.00); Editors (27-3041.00),Proofreaders and Copy Markers (43-9081.00); Editors (27-3041.00),Proofreaders and Copy Markers (43-9081.00); Editors (27-3041.00),Proofreaders and Copy Markers (43-9081.00);Editors (27-3041.00)
"staff research associate, university of california davis","Social Science Research Assistants (19-4061.00); Biological Technicians (19-4021.00); Life, Physical, and Social Science Technicians, All Other (19-4099.00)","Life, Physical, and Social Science Technicians, All Other (19-4099.00); Social Science Research Assistants (19-4061.00)","Life, Physical, and Social Science Technicians, All Other (19-4099.00); Social Science Research Assistants (19-4061.00); Biological Technicians (19-4021.00)","Social Science Research Assistants (19-4061.00);Biological Technicians (19-4021.00);Life, Physical, and Social Science Technicians, All Other (19-4099.00)"
"staff research physicist, princeton plasma physics laboratory (pppl)",Physicists (19-2012.00),Physicists (19-2012.00),Physicists (19-2012.00),Physicists (19-2012.00)
"staff scientist, dupont pharmaceuticals","Chemists (19-2031.00); Medical Scientists, Except Epidemiologists (19-1042.00)","Medical Scientists, Except Epidemiologists (19-1042.00); Life Scientists, All Other (19-1099.00)","Medical Scientists, Except Epidemiologists (19-1042.00); Biochemists and Biophysicists (19-1021.00)","Medical Scientists, Except Epidemiologists (19-1042.00)"
"staff scientist, mit lincoln laboratory","Physical Scientists, All Other (19-2099.00)",None (00-0000.00),"Physical Scientists, All Other (19-2099.00)","Physical Scientists, All Other (19-2099.00)"
"staff writer, latrobe printing & publishing","Writers and Authors (27-3043.00); Poets, Lyricists and Creative Writers (27-3043.05)",Writers and Authors (27-3043.00),"News Analysts, Reporters, and Journalists (27-3023.00); Writers and Authors (27-3043.00)",Writers and Authors (27-3043.00)
"staff writer, nintendo force magazine","News Analysts, Reporters, and Journalists (27-3023.00); Writers and Authors (27-3043.00)","News Analysts, Reporters, and Journalists (27-3023.00); Writers and Authors (27-3043.00)",Writers and Authors (27-3043.00),"News Analysts, Reporters, and Journalists (27-3023.00);Writers and Authors (27-3043.00)"
"staff writer, the western carolinian","News Analysts, Reporters, and Journalists (27-3023.00); Writers and Authors (27-3043.00)","News Analysts, Reporters, and Journalists (27-3023.00); Writers and Authors (27-3043.00)","News Analysts, Reporters, and Journalists (27-3023.00); Writers and Authors (27-3043.00)","News Analysts, Reporters, and Journalists (27-3023.00);Writers and Authors (27-3043.00)"
"staffer, new york state legislature",Legislators (11-1031.00),Legislators (11-1031.00),Legislators (11-1031.00),Legislators (11-1031.00)
"staffing consultant, beacon hill staffing group",Human Resources Specialists (13-1071.00),Human Resources Specialists (13-1071.00),Human Resources Specialists (13-1071.00),Human Resources Specialists (13-1071.00)
"staffing manager, senior ambassador coordinator, cid entertainment","Entertainment and Recreation Managers, Except Gambling (11-9072.00); Meeting, Convention, and Event Planners (13-1121.00)","Human Resources Managers (11-3121.00); Meeting, Convention, and Event Planners (13-1121.00)","Human Resources Specialists (13-1071.00); Meeting, Convention, and Event Planners (13-1121.00)","Meeting, Convention, and Event Planners (13-1121.00)"
"staffing recruiter, recruiter, tristaff",Human Resources Specialists (13-1071.00),Human Resources Specialists (13-1071.00),Human Resources Specialists (13-1071.00),Human Resources Specialists (13-1071.00)
"staffing support manager, labcorp",Human Resources Managers (11-3121.00),Human Resources Managers (11-3121.00); Human Resources Specialists (13-1071.00),Human Resources Managers (11-3121.00); Human Resources Specialists (13-1071.00),Human Resources Managers (11-3121.00);Human Resources Specialists (13-1071.00)
"stage technician, elon university",Lighting Technicians (27-4015.00); Audio and Video Technicians (27-4011.00),Audio and Video Technicians (27-4011.00); Sound Engineering Technicians (27-4014.00); Lighting Technicians (27-4015.00),Audio and Video Technicians (27-4011.00); Lighting Technicians (27-4015.00),Lighting Technicians (27-4015.00);Audio and Video Technicians (27-4011.00)
"stagehand, 930 club","Media and Communication Workers, All Other (27-3099.00); Entertainment Attendants and Related Workers, All Other (39-3099.00)",Audio and Video Technicians (27-4011.00),Audio and Video Technicians (27-4011.00),Audio and Video Technicians (27-4011.00)
"standard of learning (sol) mathematics tutor, lee-davis high school",Tutors (25-3041.00),Tutors (25-3041.00),Tutors (25-3041.00),Tutors (25-3041.00)
"state certified real estate appraiser (residential), b&b appraisers",Appraisers and Assessors of Real Estate (13-2023.00),Appraisers and Assessors of Real Estate (13-2023.00),Appraisers and Assessors of Real Estate (13-2023.00),Appraisers and Assessors of Real Estate (13-2023.00)
"state farm agent, cindy cabanas state farm",Insurance Sales Agents (41-3021.00),Insurance Sales Agents (41-3021.00),Insurance Sales Agents (41-3021.00),Insurance Sales Agents (41-3021.00)
"state forester, alabama forestry commission",Foresters (19-1032.00),Foresters (19-1032.00),Foresters (19-1032.00),Foresters (19-1032.00)
"state forester, north carolina forest service",Foresters (19-1032.00),Foresters (19-1032.00),Foresters (19-1032.00),Foresters (19-1032.00)
"state senator, arkansas state senate",Legislators (11-1031.00),Legislators (11-1031.00),Legislators (11-1031.00),Legislators (11-1031.00)
"state trooper - texas highway patrol divsion, texas department of public safety",Police and Sheriff's Patrol Officers (33-3051.00),Police and Sheriff's Patrol Officers (33-3051.00),Police and Sheriff's Patrol Officers (33-3051.00),Police and Sheriff's Patrol Officers (33-3051.00)
"stationary engineer, linkedin",Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00)
"stationary engineer, marriott hickory ridge conference center",Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00)
"stationary engineer, nyc dcas",Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00)
"stationary engineer, pacific engineering services",Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00)
"stationary engineer, sutter health",Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00),Stationary Engineers and Boiler Operators (51-8021.00)
"statistician, children's oncology group at university of florida, children's oncology group",Biostatisticians (15-2041.01); Statisticians (15-2041.00),Biostatisticians (15-2041.01); Statisticians (15-2041.00),Statisticians (15-2041.00); Biostatisticians (15-2041.01),Biostatisticians (15-2041.01);Statisticians (15-2041.00)
"statistician, department of energy",Statisticians (15-2041.00),Statisticians (15-2041.00),Statisticians (15-2041.00),Statisticians (15-2041.00)
"statistician, experian",Statisticians (15-2041.00),Statisticians (15-2041.00),Statisticians (15-2041.00),Statisticians (15-2041.00)
"statistician, johnson & johnson",Biostatisticians (15-2041.01); Statisticians (15-2041.00),Biostatisticians (15-2041.01); Statisticians (15-2041.00),Biostatisticians (15-2041.01); Statisticians (15-2041.00),Biostatisticians (15-2041.01);Statisticians (15-2041.00)
"statistics clerk, united states census dept",Statistical Assistants (43-9111.00),Statistical Assistants (43-9111.00),Statistical Assistants (43-9111.00),Statistical Assistants (43-9111.00)
"steadicam operator, back for good feature film","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"steam maintenance helper, southern california edison","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters (47-3015.00); Maintenance and Repair Workers, General (49-9071.00)","Helpers--Installation, Maintenance, and Repair Workers (49-9098.00)","Helpers--Installation, Maintenance, and Repair Workers (49-9098.00); Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters (47-3015.00)","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters (47-3015.00);Helpers--Installation, Maintenance, and Repair Workers (49-9098.00)"
"sterile central processing, shift leader, beverly hospital",Medical Equipment Preparers (31-9093.00); First-Line Supervisors of Production and Operating Workers (51-1011.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00)
"sterile fill technician, alcon laboratories, inc.",Packaging and Filling Machine Operators and Tenders (51-9111.00); Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00); Packaging and Filling Machine Operators and Tenders (51-9111.00),Packaging and Filling Machine Operators and Tenders (51-9111.00),Packaging and Filling Machine Operators and Tenders (51-9111.00);Medical Equipment Preparers (31-9093.00)
"sterile processing technician, aerotek",Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00)
"sterile technician, university of missouri hospital",Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00)
"sterilization assistant, kids teeth",Dental Assistants (31-9091.00); Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00); Dental Assistants (31-9091.00),Dental Assistants (31-9091.00); Medical Equipment Preparers (31-9093.00),Dental Assistants (31-9091.00);Medical Equipment Preparers (31-9093.00)
"sterilization specialist iii, jabil healthcare",Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00)
"sterilization tech, nordlie family dentistry",Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00),Medical Equipment Preparers (31-9093.00)
"stock associate, hollister co.",Stockers and Order Fillers (53-7065.00),Stockers and Order Fillers (53-7065.00),Stockers and Order Fillers (53-7065.00),Stockers and Order Fillers (53-7065.00)
"stock broker, arive capital markets","Securities, Commodities, and Financial Services Sales Agents (41-3031.00)","Securities, Commodities, and Financial Services Sales Agents (41-3031.00)","Securities, Commodities, and Financial Services Sales Agents (41-3031.00)","Securities, Commodities, and Financial Services Sales Agents (41-3031.00)"
"stock lead, sales representative, shoe carnival, inc., shoe carnival",First-Line Supervisors of Retail Sales Workers (41-1011.00); Retail Salespersons (41-2031.00); Stockers and Order Fillers (53-7065.00),Retail Salespersons (41-2031.00); Stockers and Order Fillers (53-7065.00),Retail Salespersons (41-2031.00); First-Line Supervisors of Retail Sales Workers (41-1011.00); Stockers and Order Fillers (53-7065.00),First-Line Supervisors of Retail Sales Workers (41-1011.00);Retail Salespersons (41-2031.00);Stockers and Order Fillers (53-7065.00)
"stock lead, the north face",First-Line Supervisors of Retail Sales Workers (41-1011.00),Stockers and Order Fillers (53-7065.00),Stockers and Order Fillers (53-7065.00); First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00);Stockers and Order Fillers (53-7065.00)
"stockman, stockman cart pusher, walmart",Stockers and Order Fillers (53-7065.00),"Laborers and Freight, Stock, and Material Movers, Hand (53-7062.00); Stockers and Order Fillers (53-7065.00)","Laborers and Freight, Stock, and Material Movers, Hand (53-7062.00); Stockers and Order Fillers (53-7065.00)","Stockers and Order Fillers (53-7065.00);Laborers and Freight, Stock, and Material Movers, Hand (53-7062.00)"
"stockroom team leader, honeywell","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00)","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00)","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00)","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042.00)"
"store manager, advance auto parts",First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00)
"store manager, fedex office",First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00)
"store manager, sherwin-williams paints",First-Line Supervisors of Retail Sales Workers (41-1011.00); General and Operations Managers (11-1021.00),First-Line Supervisors of Retail Sales Workers (41-1011.00); General and Operations Managers (11-1021.00),First-Line Supervisors of Retail Sales Workers (41-1011.00),First-Line Supervisors of Retail Sales Workers (41-1011.00);General and Operations Managers (11-1021.00)
"store protection specialist, ross stores, inc.",Retail Loss Prevention Specialists (33-9099.02),Retail Loss Prevention Specialists (33-9099.02),Retail Loss Prevention Specialists (33-9099.02),Retail Loss Prevention Specialists (33-9099.02)
"store trainer, ben's soft pretzels, ben's soft pretzels, llc",Training and Development Specialists (13-1151.00),Training and Development Specialists (13-1151.00),Training and Development Specialists (13-1151.00),Training and Development Specialists (13-1151.00)
"stormwater educator, reef relief, inc.","Environmental Scientists and Specialists, Including Health (19-2041.00); Water Resource Specialists (11-9121.02)","Environmental Science Teachers, Postsecondary (25-1053.00); Water Resource Specialists (11-9121.02)","Environmental Scientists and Specialists, Including Health (19-2041.00); Environmental Science and Protection Technicians, Including Health (19-4042.00)","Environmental Scientists and Specialists, Including Health (19-2041.00);Water Resource Specialists (11-9121.02)"
"storyboard artist, fiverr","Special Effects Artists and Animators (27-1014.00); Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013.00); Artists and Related Workers, All Other (27-1019.00)","Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013.00); Special Effects Artists and Animators (27-1014.00); Artists and Related Workers, All Other (27-1019.00)","Special Effects Artists and Animators (27-1014.00); Artists and Related Workers, All Other (27-1019.00)","Special Effects Artists and Animators (27-1014.00);Fine Artists, Including Painters, Sculptors, and Illustrators (27-1013.00);Artists and Related Workers, All Other (27-1019.00)"
"strategic planning facilitator, police and prisons civil rights union (popcru)",Management Analysts (13-1111.00),Management Analysts (13-1111.00),Management Analysts (13-1111.00),Management Analysts (13-1111.00)
"strategic sourcing principal, bae systems, inc., bae systems, inc",Purchasing Managers (11-3061.00); Supply Chain Managers (11-3071.04),Supply Chain Managers (11-3071.04); Purchasing Managers (11-3061.00),Supply Chain Managers (11-3071.04); Purchasing Managers (11-3061.00),Purchasing Managers (11-3061.00);Supply Chain Managers (11-3071.04)
"strategic technical associate, the saylor foundation",Computer and Information Systems Managers (11-3021.00); Operations Research Analysts (15-2031.00),None (00-0000.00),None (00-0000.00),None (00-0000.00)
"stratigic planner, zig ideas","Management Analysts (13-1111.00); Business Operations Specialists, All Other (13-1199.00)","Management Analysts (13-1111.00); Business Operations Specialists, All Other (13-1199.00)","Business Operations Specialists, All Other (13-1199.00); Management Analysts (13-1111.00)","Management Analysts (13-1111.00);Business Operations Specialists, All Other (13-1199.00)"
"stress engineer, northrop grumman","Engineers, All Other (17-2199.00); Aerospace Engineers (17-2011.00)",Aerospace Engineers (17-2011.00),"Aerospace Engineers (17-2011.00); Engineers, All Other (17-2199.00)","Engineers, All Other (17-2199.00);Aerospace Engineers (17-2011.00)"
"striper, roadsafe traffic systems",Traffic Technicians (53-6041.00); Highway Maintenance Workers (47-4051.00),"Painters, Construction and Maintenance (47-2141.00)","Painters, Construction and Maintenance (47-2141.00); Highway Maintenance Workers (47-4051.00)","Highway Maintenance Workers (47-4051.00);Painters, Construction and Maintenance (47-2141.00)"
"structural engineer, henry von oesen & associates",Civil Engineers (17-2051.00),Civil Engineers (17-2051.00),Civil Engineers (17-2051.00),Civil Engineers (17-2051.00)
"structural engineer, marx|okubo associates, marx|okubo associates, inc.",Civil Engineers (17-2051.00),Civil Engineers (17-2051.00),Civil Engineers (17-2051.00),Civil Engineers (17-2051.00)
"structural project engineer, lpa",Civil Engineers (17-2051.00),Civil Engineers (17-2051.00),Civil Engineers (17-2051.00),Civil Engineers (17-2051.00)
"structural welder, gulf marine fabricators","Welders, Cutters, Solderers, and Brazers (51-4121.00)","Welders, Cutters, Solderers, and Brazers (51-4121.00)","Welders, Cutters, Solderers, and Brazers (51-4121.00); Structural Metal Fabricators and Fitters (51-2041.00)","Welders, Cutters, Solderers, and Brazers (51-4121.00)"
"studio camera operator, kutv 2news / kmyu","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)","Camera Operators, Television, Video, and Film (27-4031.00)"
"studio operations am, bloomberg news",Media Technical Directors/Managers (27-2012.05); Broadcast Technicians (27-4012.00),Media Technical Directors/Managers (27-2012.05); Broadcast Technicians (27-4012.00),Media Technical Directors/Managers (27-2012.05); Broadcast Technicians (27-4012.00),Media Technical Directors/Managers (27-2012.05);Broadcast Technicians (27-4012.00)
"stylist & makeup artist, sage salon","Makeup Artists, Theatrical and Performance (39-5091.00); Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00); Makeup Artists, Theatrical and Performance (39-5091.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00); Makeup Artists, Theatrical and Performance (39-5091.00)","Makeup Artists, Theatrical and Performance (39-5091.00);Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)"
"stylist assistant, true salon","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00); Shampooers (39-5093.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Shampooers (39-5093.00); Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00);Shampooers (39-5093.00)"
"stylist, about faces day spa","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)"
"stylist, allsaints",Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00)
"stylist, ann taylor",Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00)
"stylist, j.crew",Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00),Retail Salespersons (41-2031.00)
"stylist, regis corporation","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)"
"stylist, supercuts","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)","Hairdressers, Hairstylists, and Cosmetologists (39-5012.00)"
"sub assembly line operator, general time (division of west clock)","Team Assemblers (51-2092.00); Assemblers and Fabricators, All Other (51-2099.00)","Team Assemblers (51-2092.00); Assemblers and Fabricators, All Other (51-2099.00)",Team Assemblers (51-2092.00),"Team Assemblers (51-2092.00);Assemblers and Fabricators, All Other (51-2099.00)"
"submarine department head, u.s. navy","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Command and Control Center Officers (55-1015.00); Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)","Military Officer Special and Tactical Operations Leaders, All Other (55-1019.00)"
"submission judge, film at lincoln center",Producers and Directors (27-2012.00),Producers and Directors (27-2012.00),Producers and Directors (27-2012.00),Producers and Directors (27-2012.00)
"submissions judge, new york film festival, film at lincoln center",Producers and Directors (27-2012.00); Talent Directors (27-2012.04),Producers and Directors (27-2012.00),Producers and Directors (27-2012.00); Talent Directors (27-2012.04),Producers and Directors (27-2012.00);Talent Directors (27-2012.04)
"substitute custodian, antioch unified school district","Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011.00)","Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011.00)","Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011.00)","Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011.00)"
"substitute elementary librarian, beaver area school district",Librarians and Media Collections Specialists (25-4022.00),"Librarians and Media Collections Specialists (25-4022.00); Substitute Teachers, Short-Term (25-3031.00)","Librarians and Media Collections Specialists (25-4022.00); Substitute Teachers, Short-Term (25-3031.00)","Librarians and Media Collections Specialists (25-4022.00);Substitute Teachers, Short-Term (25-3031.00)"
"substitute librarian, boulder public library",Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00),Librarians and Media Collections Specialists (25-4022.00)
